"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_IFSp",6427.18560791016,4180.48954772949,5443.52380371094,7317.36320495605,3.42682328261435,0.661466961726546,0.212585687171668,0.10638045030646,0.356928874738514,0.0266233023139648,0.0141408582567237,0.283340839669108
"lh_IFSa",6256.33421688988,3729.51848493304,5316.02118210565,7164.96301850818,1.82338052349431,0.645506836119152,0.206990131310054,0.101139492754425,0.366777620854832,0.0289843268249006,0.0168606227130762,0.279247815410296
"lh_p9-46v",6255.78244676777,3665.43700214461,5319.53627642463,7216.94282322304,3.15878874355671,0.675621932628108,0.200580122716287,0.105740818030694,0.362274050128226,0.0274529464762,0.014564095576312,0.289387971747155
"lh_46",6152.52607996324,3560.13319666245,5280.83980784697,6919.77102481618,-0.388012195636025,0.657471586676205,0.191840639885734,0.101259394822752,0.366733970010982,0.0277391144293634,0.0148128408199067,0.297614037552301
"lh_a9-46v",6259.43116295856,3483.89460024626,5338.56151282269,7258.22102156929,3.67653626041568,0.639820389125658,0.193631469879461,0.0978758817781573,0.375573380485825,0.0313260644755286,0.0186320658489738,0.282961137916731
"lh_9-46d",6309.28547595796,3720.35049583798,5327.85976446243,7035.43703497024,0.995679787825793,0.672277691818419,0.188723311537788,0.0972379102770771,0.37262844791015,0.0277100863334324,0.0150852843209924,0.298614961405595
"lh_9a",5739.2182525059,3453.19000589623,4901.69833431604,6429.880481648,6.0663901275059,0.63517020895796,0.179653271189276,0.0946034579625669,0.376832656140597,0.0298350382736831,0.0171579083884662,0.301917668221132
"lh_10v",6135.80133611506,3006.12922252308,5323.26521439986,6638.72022594105,6.2892458113757,0.624186838215048,0.194786726751111,0.0891939281401309,0.395179082046856,0.0308072949251668,0.0196122823029079,0.270420694893057
"lh_a10p",6044.64612630208,2970.08478190104,5271.45162760417,6919.82010091146,5.77121024131775,0.6124021311601,0.188608719408512,0.0936677095790704,0.387700708707174,0.0338858523716529,0.0216966645171245,0.274440348148346
"lh_10pp",5589.05991617839,2539.7880452474,4854.52229817708,6259.24802652995,6.2877189318339,0.618360603849093,0.187189710016052,0.0897365063428879,0.395892494668563,0.0340943698926518,0.0226121263888975,0.270474784076214
"lh_11l",5781.12163880814,3000.58126192315,4907.77838844477,6439.16835483285,2.29607879069396,0.641734117685362,0.201316305371218,0.0875215026181798,0.394174756005753,0.0293550564539294,0.0187557499509218,0.268876632285673
"lh_13l",5920.44243164062,3464.99183105469,4949.54690429688,6406.81190429687,3.23043944194913,0.623529359102249,0.220965850949287,0.0852772080898285,0.387569487690926,0.0257728707417846,0.0164637930132449,0.263950787186623
"lh_OFC",5913.12333449272,2789.86484642551,4905.38707325557,6306.69632250642,5.46672352699384,0.620929234648404,0.220216669856685,0.083296985965069,0.393687703838087,0.0265215980526927,0.0173772573981383,0.258899780985427
"lh_47s",6163.99754638672,5400.10494384766,4962.25362548828,6255.62257080078,5.66622638702393,0.603427995741367,0.229527219757438,0.0865911090746522,0.377891615778208,0.0249333136249334,0.0156998327001929,0.265356910973787
"lh_LIPd",6329.63357062089,4027.908203125,5581.72381270559,7393.43992855674,0.956194783511915,0.648682148833024,0.356311831819384,0.112210180806486,0.265397855325749,0.0181049526129898,0.00762715357306756,0.240348020274388
"lh_6a",6026.53470828555,3931.66920513188,5230.0730002867,6834.75310439364,-2.72259589595669,0.596087106870949,0.236187925169227,0.116908187713098,0.313146096303922,0.0242730135764551,0.00915562323029709,0.30032915451111
"lh_i6-8",6271.36487165179,4109.95149972098,5232.55309709821,7139.46648995536,3.80504315921239,0.619280900274004,0.209808094160897,0.110174399188587,0.336491230555943,0.024322583047407,0.0100450411971126,0.309158647060394
"lh_s6-8",6031.88813219572,3825.76218133224,4955.58460115132,6866.84418688322,5.53241797497398,0.624447123000496,0.195879116654396,0.104554933152701,0.344625989073201,0.0255829328180928,0.0116988718019504,0.317658143608194
"lh_43",6251.60041437922,4701.7989666913,5214.74253061655,6345.27917810388,-3.73823258683488,0.59091391273447,0.279653983744415,0.0983560538372478,0.330066226624154,0.0237156960207063,0.0150859100693786,0.25312213317768
"lh_OP4",5832.86293764468,4952.51117169415,5079.24552408854,5992.30202003762,-4.32460321761944,0.585132477460084,0.304534329308404,0.0991657354213573,0.313080523852949,0.0215685485551755,0.0129595510834069,0.248691310485204
"lh_OP1",6140.02134195964,5203.32176717122,5361.03087361654,6265.25836181641,-5.01433531443278,0.585652171323697,0.321927806983391,0.0965295011798541,0.303976338977615,0.0177612055558711,0.00921434718960275,0.250590799376369
"lh_OP2-3",5950.18755677689,5139.22189543968,5033.34519213299,5985.63945539608,-4.38003398096839,0.576029367225115,0.305919957022334,0.0964455275341522,0.3142923664215,0.0196402778545784,0.0107144077070231,0.252987465193105
"lh_52",5967.91999421296,4978.79224537037,4919.88107638889,5874.8431712963,-3.41541153413278,0.603770487838321,0.317155718803406,0.0878312132424778,0.320408269211098,0.0190544659616771,0.0112580572841344,0.244292285707262
"lh_RI",6011.33972167969,4792.66920689174,5197.36247035435,6221.27760532924,-4.09432197894369,0.581511549651623,0.323023478899683,0.0964340760505625,0.302887643554381,0.0174306196692799,0.00877365988812276,0.251450520008802
"lh_PFcm",6275.29442223837,4799.90192360102,5342.74935274346,6372.29648891715,-3.66736789914065,0.615727625613989,0.325878634702328,0.10000169311845,0.295718133449554,0.0176996872868649,0.00910302589452544,0.251598828407221
"lh_PoI2",5926.56625677615,5672.81437340561,4726.91235849809,5149.69179488202,-3.23910658213557,0.607447475803142,0.277389921704117,0.0898698515125683,0.340508794906188,0.024651936958639,0.0164575290923216,0.25112196863914
"lh_TA2",5401.34181810462,5962.6921705163,4663.49076511549,5103.93941066576,-3.19875151178111,0.604714276997939,0.285079817409101,0.0870394421660382,0.344699722269307,0.0221105660919262,0.0143758634753201,0.246694587495016
"lh_FOP4",6225.25155362216,4500.71995960582,5161.37190015388,6368.58998431581,-1.46237226778811,0.628721621903506,0.236518335613337,0.0989325393104192,0.353375154011177,0.0245694191561955,0.0139875785927429,0.272616971622814
"lh_MI",6350.32289817116,4767.29383988814,5169.71987082741,6270.95233709162,-1.22984329247001,0.606368624351241,0.248838564550335,0.0971577145497907,0.347383404319937,0.026090968654237,0.0165012492798269,0.264028101482175
"lh_Pir",2873.99989720395,3528.0408228824,2257.45320209704,2341.45496247944,-1.08103452387609,0.327691686780829,0.0867941081523895,0.0287605220157849,0.12521975448257,0.00863431452920562,0.00592923992754597,0.0867673205701928
"lh_AVI",6192.01140802557,4932.86088423295,5021.04219193892,6486.31820401278,1.79843076144938,0.611034759066322,0.223179717632857,0.0971777733754028,0.364436896009879,0.0256637114692818,0.014752243984152,0.274789654395797
"lh_AAIC",4697.41828070746,3986.02604166667,3737.49666341146,4320.74171278212,1.04550288783179,0.464171475834317,0.184419512334797,0.0719508054769701,0.27935772223605,0.0232202486755947,0.015760473234372,0.203069012198183
"lh_FOP1",6424.36953735352,5307.8694152832,5347.44485473633,6318.03356933594,-3.23060566186905,0.601304940879345,0.276128018274903,0.0944385682232678,0.336988475173712,0.0232863463461399,0.014664048620034,0.254494536668062
"lh_FOP3",5911.22429435484,4297.26605815272,4935.93409778226,5888.68279044859,-3.00904427805255,0.612603695161881,0.260758489851029,0.0973742976784706,0.339881123073639,0.0243398113957336,0.0144255659392764,0.263220718791408
"lh_FOP2",5779.19079059103,4710.06050441576,5000.49838654891,5661.2931810462,-4.46743882220724,0.59350365659465,0.282959576534188,0.0954187969150751,0.330178748006406,0.0215833085872557,0.0125454304253925,0.25731414426928
"lh_PFt",5721.80979614258,4245.26986083984,5070.28029785156,6171.82238769531,-3.16137388050556,0.613550383597612,0.313854112103581,0.118726869300008,0.28390161767602,0.0207032172707841,0.0102506246767007,0.252563558705151
